scheme,num_domains,trial,step1_rtl_ms,step2_gcl_ms,step4_gel_ms,network_phase_ms,step3_merkle_ms,step5_rcp_bls_ms,step6_cred_bls_ms,compute_phase_ms,total_ms,all_valid
HFA-DID,5,3,6.145,5.058,6.228,6.228,0.012,1.356,1.31,2.678,8.906,True
Relay,5,3,10.852,10.818,10.749,32.419,0.061,6.748,6.586,13.395,45.814,
HFA-DID,5,4,5.616,5.709,4.371,5.709,0.013,1.356,1.308,2.677,8.386,True
Relay,5,4,10.775,10.317,10.376,31.469,0.057,6.706,6.832,13.595,45.064,
HFA-DID,5,5,6.907,5.168,6.563,6.907,0.017,1.315,1.329,2.661,9.568,True
Relay,5,5,10.995,10.798,10.899,32.692,0.058,6.645,6.537,13.241,45.933,
HFA-DID,5,6,5.356,5.02,4.16,5.356,0.011,1.329,1.336,2.677,8.032,True
Relay,5,6,10.806,10.653,10.678,32.137,0.073,6.676,6.552,13.301,45.439,
HFA-DID,5,7,5.475,5.777,5.787,5.787,0.012,1.341,1.313,2.666,8.453,True
Relay,5,7,10.715,10.51,10.747,31.972,0.063,6.686,6.586,13.336,45.308,
HFA-DID,5,8,5.763,5.373,5.634,5.763,0.015,1.329,1.323,2.668,8.431,True
Relay,5,8,10.5,10.276,10.232,31.007,0.056,6.682,6.943,13.681,44.688,
HFA-DID,5,9,7.0,6.481,6.182,7.0,0.013,1.344,1.31,2.667,9.667,True
Relay,5,9,10.269,9.854,9.999,30.122,0.058,6.692,6.554,13.304,43.426,
HFA-DID,10,0,7.424,5.629,6.328,7.424,0.016,1.338,1.316,2.67,10.094,True
Relay,10,0,22.486,21.678,21.159,65.323,0.118,13.375,13.251,26.744,92.068,
HFA-DID,10,1,6.137,5.79,5.86,6.137,0.013,1.36,1.324,2.697,8.834,True
Relay,10,1,22.038,21.448,21.702,65.188,0.124,13.438,13.276,26.839,92.027,
HFA-DID,10,2,6.337,6.71,6.302,6.71,0.013,1.328,1.314,2.655,9.365,True
Relay,10,2,22.629,21.931,21.757,66.317,0.13,13.439,13.169,26.739,93.056,
HFA-DID,10,3,6.875,6.146,5.956,6.875,0.014,1.312,1.322,2.648,9.523,True
Relay,10,3,21.606,21.247,21.513,64.366,0.129,13.306,13.198,26.633,90.999,
HFA-DID,10,4,5.997,5.575,6.627,6.627,0.012,1.336,1.307,2.655,9.282,True
Relay,10,4,21.675,21.083,21.465,64.223,0.126,13.354,13.169,26.649,90.872,
HFA-DID,10,5,6.584,4.777,5.587,6.584,0.014,1.347,1.327,2.688,9.272,True
Relay,10,5,21.596,21.307,21.081,63.984,0.128,13.374,13.157,26.659,90.642,
HFA-DID,10,6,6.16,6.702,6.158,6.702,0.013,1.315,1.341,2.669,9.371,True
Relay,10,6,22.302,21.257,21.387,64.946,0.135,13.384,13.307,26.825,91.772,
HFA-DID,10,7,6.338,6.44,5.827,6.44,0.014,1.331,1.313,2.657,9.097,True
Relay,10,7,21.536,21.028,21.229,63.793,0.116,13.348,13.195,26.659,90.453,
HFA-DID,10,8,7.353,7.424,6.806,7.424,0.013,1.333,1.311,2.658,10.082,True
Relay,10,8,21.37,21.229,21.419,64.018,0.118,13.28,13.183,26.58,90.598,
HFA-DID,10,9,5.58,5.624,4.186,5.624,0.012,1.314,1.303,2.629,8.253,True
Relay,10,9,21.082,20.712,20.716,62.51,0.119,13.392,13.14,26.651,89.161,
