scheme,num_domains,trial,step1_rtl_ms,step2_gcl_ms,step4_gel_ms,network_phase_ms,step3_merkle_ms,step5_rcp_bls_ms,step6_cred_bls_ms,compute_phase_ms,total_ms,all_valid
HFA-DID,2,0,7.423,6.847,6.137,7.423,0.014,1.348,1.318,2.68,10.103,True
Relay,2,0,6.569,4.025,4.023,14.617,0.024,2.666,2.62,5.309,19.926,
HFA-DID,2,1,6.032,4.64,5.383,6.032,0.014,1.324,1.305,2.642,8.675,True
Relay,2,1,4.454,3.8,3.826,12.08,0.022,2.742,3.119,5.882,17.963,
HFA-DID,2,2,5.715,4.411,5.408,5.715,0.012,1.337,1.316,2.666,8.381,True
Relay,2,2,3.828,3.867,3.749,11.444,0.022,2.634,2.615,5.27,16.715,
HFA-DID,2,3,4.686,5.662,5.043,5.662,0.012,1.31,1.329,2.651,8.314,True
Relay,2,3,4.159,3.995,4.186,12.34,0.022,2.755,2.628,5.405,17.745,
HFA-DID,2,4,4.504,5.174,4.823,5.174,0.013,1.359,1.31,2.682,7.857,True
Relay,2,4,3.917,3.838,4.025,11.781,0.028,2.634,2.652,5.314,17.095,
HFA-DID,2,5,5.946,4.339,4.993,5.946,0.012,1.321,1.308,2.641,8.587,True
Relay,2,5,3.734,3.679,3.682,11.095,0.022,2.659,2.652,5.333,16.427,
HFA-DID,2,6,5.893,5.959,5.301,5.959,0.011,1.341,1.303,2.656,8.614,True
Relay,2,6,3.775,3.611,3.599,10.985,0.022,2.682,2.628,5.332,16.317,
HFA-DID,2,7,4.51,5.39,5.212,5.39,0.011,1.358,1.292,2.661,8.051,True
Relay,2,7,3.817,3.68,3.657,11.154,0.022,2.652,2.625,5.299,16.452,
HFA-DID,2,8,5.209,4.463,5.631,5.631,0.011,1.329,1.35,2.69,8.321,True
Relay,2,8,3.874,3.927,3.795,11.596,0.023,2.639,2.665,5.327,16.924,
HFA-DID,2,9,5.733,5.388,4.927,5.733,0.012,1.345,1.312,2.669,8.402,True
Relay,2,9,4.198,4.053,4.213,12.464,0.022,2.677,2.612,5.312,17.776,
HFA-DID,5,0,7.755,5.401,5.18,7.755,0.017,1.444,1.307,2.769,10.524,True
Relay,5,0,12.092,10.94,10.707,33.74,0.062,6.647,6.612,13.321,47.061,
HFA-DID,5,1,6.487,5.35,5.528,6.487,0.012,1.342,1.313,2.668,9.155,True
Relay,5,1,10.696,10.682,10.789,32.166,0.062,6.653,6.594,13.309,45.475,
HFA-DID,5,2,4.966,4.554,4.994,4.994,0.012,1.358,1.329,2.699,7.693,True
Relay,5,2,11.045,10.92,10.857,32.822,0.065,6.682,6.561,13.308,46.13,
