scheme,num_domains,trial,step1_rtl_ms,step2_gcl_ms,step4_gel_ms,network_phase_ms,step3_merkle_ms,step5_rcp_bls_ms,step6_cred_bls_ms,compute_phase_ms,total_ms,all_valid
HFA-DID,2,0,7.727,5.998,4.551,7.727,0.016,1.352,1.311,2.679,10.406,True
Relay,2,0,4.444,4.265,4.307,13.015,0.033,2.66,2.629,5.321,18.337,
HFA-DID,2,1,5.624,5.856,5.951,5.951,0.012,1.309,1.325,2.646,8.597,True
Relay,2,1,4.049,3.76,3.898,11.707,0.022,2.662,2.626,5.309,17.016,
HFA-DID,2,2,3.699,4.424,4.394,4.424,0.012,1.375,1.315,2.702,7.126,True
Relay,2,2,3.83,3.709,3.634,11.172,0.022,2.677,2.599,5.298,16.47,
HFA-DID,2,3,4.987,5.495,5.74,5.74,0.011,1.334,1.294,2.639,8.378,True
Relay,2,3,3.922,3.688,3.678,11.289,0.022,2.644,2.62,5.286,16.575,
HFA-DID,2,4,5.892,5.296,5.028,5.892,0.016,1.334,1.319,2.669,8.561,True
Relay,2,4,3.881,4.015,3.862,11.758,0.022,2.661,2.644,5.327,17.085,
HFA-DID,5,0,7.168,6.239,5.836,7.168,0.016,1.384,1.315,2.714,9.882,True
Relay,5,0,13.413,10.588,10.505,34.506,0.063,6.621,6.58,13.263,47.77,
HFA-DID,5,1,5.238,5.046,3.993,5.238,0.019,1.339,1.311,2.669,7.907,True
Relay,5,1,11.11,10.704,10.995,32.81,0.062,6.662,6.574,13.298,46.108,
HFA-DID,5,2,6.038,6.349,5.195,6.349,0.012,1.34,1.301,2.654,9.002,True
Relay,5,2,10.832,10.687,10.649,32.168,0.059,6.604,6.52,13.183,45.35,
HFA-DID,5,3,5.787,6.278,6.171,6.278,0.012,1.313,1.324,2.649,8.927,True
Relay,5,3,10.576,10.308,10.201,31.085,0.057,6.723,6.58,13.36,44.445,
HFA-DID,5,4,6.665,4.962,6.355,6.665,0.012,1.322,1.312,2.646,9.311,True
Relay,5,4,10.219,9.907,10.188,30.314,0.056,6.656,6.54,13.252,43.565,
